nodes, smt, mpi, omp, perf., domain LI, PME LI
 , , , , (ns/day), (%), (%)
1, 1, 128, 1, 317.504, 17.7, 6.5
1, 1, 64, 2, 307.099, 12.0, 6.7
1, 1, 32, 4, 183.942, 8.4, 19.8
1, 1, 16, 8, 117.023, 5.4, 
1, 1, 8, 16, 127.273, 2.7, 
1, 1, 4, 32, 70.981, 6.8, 
1, 1, 2, 64, 41.180, 0.3, 
1, 2, 256, 1, 340.363, 15.6, 4.2
1, 2, 128, 2, 262.344, 10.9, 11.3
1, 2, 64, 4, 290.738, 8.3, 11.7
1, 2, 32, 8, 204.793, 6.5, 13.5
1, 2, 16, 16, 98.312, 3.1, 
1, 2, 8, 32, 62.024, 2.5, 
1, 2, 4, 64, 32.330, 2.6, 
2, 1, 128, 1, 491.956, 18.5, 2.8
2, 1, 64, 2, 512.462, 17.7, 3.9
2, 1, 32, 4, 524.252, 12.2, 9.7
2, 1, 16, 8, 312.580, 9.3, 13.5
2, 1, 8, 16, 146.064, 5.6, 
2, 1, 4, 32, 89.415, 2.7, 
2, 1, 2, 64, 47.497, 3.2, 
2, 2, 256, 1, 414.047, 17.6, 2.6
2, 2, 128, 2, 377.112, 12.9, 14.2
2, 2, 64, 4, 348.244, 9.0, 20.1
2, 2, 32, 8, 218.292, 7.4, 21.6
2, 2, 16, 16, 175.302, 7.8, 15.1
2, 2, 8, 32, 69.211, 4.1, 
2, 2, 4, 64, 39.369, 3.4, 
