nodes, smt, mpi, omp, perf., domain LI, PME LI
 , , , , (ns/day), (%), (%)
1, 1, 128, 1, 124.886, 19.7, 7.1
1, 1, 64, 2, 115.544, 18.8, 6.5
1, 1, 32, 4, 115.717, 17.0, 3.2
1, 1, 16, 8, 81.598, 2.7, 
1, 1, 8, 16, 63.307, 1.8, 
1, 1, 4, 32, 39.566, 1.7, 
1, 1, 2, 64, 19.790, 0.3, 
1, 2, 256, 1, 124.361, 24.0, 6.6
1, 2, 128, 2, 121.391, 17.6, 2.3
1, 2, 64, 4, 78.781, 12.3, 21.3
1, 2, 32, 8, 75.453, 12.0, 7.4
1, 2, 16, 16, 55.008, 2.3, 
1, 2, 8, 32, 33.268, 1.0, 
1, 2, 4, 64, 17.042, 0.7, 
2, 1, 128, 1, 218.618, 25.0, 5.6
2, 1, 64, 2, 208.698, 16.0, 5.5
2, 1, 32, 4, 152.534, 24.5, 2.0
2, 1, 16, 8, 92.396, 7.4, 21.9
2, 1, 8, 16, 84.702, 2.4, 
2, 1, 4, 32, 49.456, 3.9, 
2, 1, 2, 64, 26.418, 2.8, 
2, 2, 256, 1, 194.937, 20.2, 8.1
2, 2, 128, 2, 186.475, 15.6, 8.0
2, 2, 64, 4, 147.533, 12.0, 18.7
2, 2, 32, 8, 109.417, 10.5, 11.0
2, 2, 16, 16, 73.785, 9.4, 12.5
2, 2, 8, 32, 42.694, 3.1, 
2, 2, 4, 64, 22.713, 1.1, 
4, 1, 128, 1, 339.775, 20.0, 11.2
4, 1, 64, 2, 332.009, 16.0, 10.3
4, 1, 32, 4, 259.007, 11.0, 20.8
4, 1, 16, 8, 148.811, 15.4, 13.9
4, 1, 8, 16, 106.688, 8.7, 14.9
4, 1, 4, 32, 63.141, 2.2, 
4, 1, 2, 64, 33.582, 1.0, 
4, 2, 256, 1, 235.229, 15.5, 27.2
4, 2, 128, 2, 199.985, 10.4, 27.9
4, 2, 64, 4, 211.537, 9.6, 21.0
4, 2, 32, 8, 131.635, 8.9, 23.0
4, 2, 16, 16, 94.600, 7.2, 14.8
4, 2, 8, 32, 58.258, 7.3, 15.3
4, 2, 4, 64, 25.240, 2.1, 
