nodes, smt, mpi, omp, perf., domain LI, PME LI
 , , , , (ns/day), (%), (%)
1, 1, 128, 1, 0.861, 1.6, 12.0
1, 1, 64, 2, 0.842, 1.3, 10.6
1, 1, 32, 4, 0.824, 1.2, 10.3
1, 1, 16, 8, 0.799, 1.0, 
1, 1, 8, 16, 0.760, 0.5, 
1, 1, 4, 32, 0.533, 0.2, 
1, 1, 2, 64, 0.298, 1.2, 
1, 2, 256, 1, 1.036, 1.8, 9.9
1, 2, 128, 2, 0.915, 1.5, 9.5
1, 2, 64, 4, 0.875, 1.7, 8.9
1, 2, 32, 8, 0.821, 1.7, 4.6
1, 2, 16, 16, 0.792, 1.6, 
1, 2, 8, 32, 0.544, 0.6, 
1, 2, 4, 64, 0.320, 3.4, 
2, 1, 128, 1, 1.702, 3.0, 12.2
2, 1, 64, 2, 1.705, 1.8, 10.4
2, 1, 32, 4, 1.638, 1.9, 9.9
2, 1, 16, 8, 1.560, 6.8, 6.4
2, 1, 8, 16, 1.446, 4.1, 
2, 1, 4, 32, 1.036, 2.8, 
2, 1, 2, 64, 0.550, 7.7, 
2, 2, 256, 1, 1.714, 3.7, 9.4
2, 2, 128, 2, 1.837, 2.1, 9.0
2, 2, 64, 4, 1.765, 2.4, 7.1
2, 2, 32, 8, 1.613, 7.6, 1.8
2, 2, 16, 16, 1.418, 6.3, 4.4
2, 2, 8, 32, 0.986, 2.4, 
2, 2, 4, 64, 0.552, 4.5, 
4, 1, 128, 1, 3.386, 2.4, 11.8
4, 1, 64, 2, 3.444, 7.9, 10.6
4, 1, 32, 4, 3.392, 2.6, 8.2
4, 1, 16, 8, 2.997, 7.7, 4.5
4, 1, 8, 16, 2.750, 1.3, 0.9
4, 1, 4, 32, 1.905, 1.2, 
4, 1, 2, 64, 1.053, 0.4, 
4, 2, 256, 1, 3.388, 7.2, 8.5
4, 2, 128, 2, 3.638, 4.0, 7.6
4, 2, 64, 4, 3.581, 5.3, 5.4
4, 2, 32, 8, 3.212, 3.5, 0.7
4, 2, 16, 16, 2.716, 4.5, 5.2
4, 2, 8, 32, 1.595, 5.1, 13.1
4, 2, 4, 64, 0.933, 0.7, 
8, 1, 128, 1, , , 
8, 1, 64, 2, , , 
8, 1, 32, 4, , , 
8, 1, 16, 8, , , 
8, 1, 8, 16, , , 
8, 1, 4, 32, , , 
8, 1, 2, 64, , , 
