nodes, smt, mpi, omp, perf., domain LI, PME LI
 , , , , (ns/day), (%), (%)
1, 1, 128, 1, 10.619, 14.7, 3.5
1, 1, 64, 2, 12.089, 11.7, 5.2
1, 1, 32, 4, 11.105, 9.5, 0.2
1, 1, 16, 8, 9.258, 3.5, 
1, 1, 8, 16, 7.137, 2.2, 
1, 1, 4, 32, 4.224, 0.9, 
1, 1, 2, 64, 2.131, 0.1, 
1, 2, 256, 1, 11.529, 13.4, 0.8
1, 2, 128, 2, 11.637, 12.8, 3.8
1, 2, 64, 4, 10.453, 7.2, 11.9
1, 2, 32, 8, 7.993, 6.2, 23.1
1, 2, 16, 16, 7.020, 3.8, 
1, 2, 8, 32, 4.194, 3.9, 
1, 2, 4, 64, 2.097, 0.6, 
2, 1, 128, 1, 20.071, 19.8, 3.6
2, 1, 64, 2, 20.818, 18.6, 1.2
2, 1, 32, 4, 20.637, 12.1, 6.9
2, 1, 16, 8, 15.965, 6.8, 18.8
2, 1, 8, 16, 13.287, 4.1, 
2, 1, 4, 32, 8.383, 3.1, 
2, 1, 2, 64, 4.061, 0.9, 
2, 2, 256, 1, 20.244, 19.0, 0.7
2, 2, 128, 2, 22.195, 13.0, 2.1
2, 2, 64, 4, 20.514, 8.7, 10.6
2, 2, 32, 8, 13.416, 6.1, 30.8
2, 2, 16, 16, 9.921, 5.1, 31.8
2, 2, 8, 32, 7.199, 3.3, 
2, 2, 4, 64, 3.590, 6.0, 
4, 1, 128, 1, 39.996, 17.5, 2.5
4, 1, 64, 2, 41.274, 15.0, 0.9
4, 1, 32, 4, 38.067, 12.2, 10.5
4, 1, 16, 8, 25.467, 5.2, 29.4
4, 1, 8, 16, 19.174, 5.1, 28.6
4, 1, 4, 32, 13.925, 2.3, 
4, 1, 2, 64, 7.004, 5.8, 
4, 2, 256, 1, , , 
4, 2, 128, 2, 39.181, 11.6, 6.8
4, 2, 64, 4, 2.148, 0.5, 72.1
4, 2, 32, 8, 23.433, 6.4, 29.9
4, 2, 16, 16, 16.116, 5.4, 33.2
4, 2, 8, 32, 10.755, 5.0, 22.7
4, 2, 4, 64, 6.081, 4.0, 
